iter	Logloss
251	0.4708136391
252	0.470426755
253	0.4699889401
254	0.4695825357
255	0.4692413983
256	0.4689246399
257	0.4687361003
258	0.4683561507
259	0.4679670962
260	0.4675087784
261	0.4673427109
262	0.4669675703
263	0.4666615237
264	0.4661525121
265	0.4656833045
266	0.4652254341
267	0.4647895886
268	0.4646267618
269	0.4642797141
270	0.4638442403
271	0.4634117103
272	0.463112006
273	0.4628532496
274	0.462611086
275	0.4622479777
276	0.462018409
277	0.4617347557
278	0.4614702688
279	0.4611642736
280	0.461012645
281	0.4606528065
282	0.4604088575
283	0.4601483397
284	0.459818527
285	0.4594729315
286	0.4592273769
287	0.4588735688
288	0.4587465309
289	0.4585110194
290	0.4583803718
291	0.4580497838
292	0.4579345094
293	0.4570489183
294	0.4567308664
295	0.4565509364
296	0.4561209841
297	0.455829941
298	0.4556320964
299	0.4553640264
300	0.4550023355
301	0.4547671295
302	0.4544705894
303	0.4544112239
304	0.4541469507
305	0.4537606413
306	0.453447839
307	0.4531548766
308	0.4527913619
309	0.4524853834
310	0.4521573358
311	0.4516178058
312	0.4513210407
313	0.4512223659
314	0.4511082452
315	0.4507706148
316	0.4504925123
317	0.4501795531
318	0.4500859611
319	0.4497389289
320	0.4494321073
321	0.4490770343
322	0.4488407441
323	0.4483828172
324	0.4480248558
325	0.4476736489
326	0.4473621672
327	0.4470049214
328	0.4468159284
329	0.446508085
330	0.4462813357
331	0.4460442692
332	0.4458040491
333	0.4455084904
334	0.4450832602
335	0.4444794648
336	0.444134127
337	0.4436315705
338	0.4434355027
339	0.4432689463
340	0.4428453256
341	0.4426030743
342	0.4424727708
343	0.4421521473
344	0.4421209049
345	0.441978426
346	0.4419053951
347	0.441633437
348	0.44135813
349	0.4411602008
350	0.4408469467
351	0.44055611
352	0.4403307748
353	0.4402806035
354	0.4397921582
355	0.4394066955
356	0.4393589562
357	0.4390209261
358	0.4387259536
359	0.4384195018
360	0.4381374906
361	0.4378523784
362	0.4376095363
363	0.4372415823
364	0.4368915022
365	0.4366220301
366	0.4363186218
367	0.4360163943
368	0.435722299
369	0.4355607669
370	0.4353658943
371	0.4353006032
372	0.4350194017
373	0.4348965876
374	0.4345880544
375	0.4341388623
376	0.4338573527
377	0.433580677
378	0.4332876309
379	0.4330017271
380	0.4327535987
381	0.4325233127
382	0.4323003506
383	0.4320850882
384	0.4318137723
385	0.4315831481
386	0.4312912253
387	0.4311608188
388	0.430978275
389	0.4307155177
390	0.4304114465
391	0.4300557069
392	0.4299357647
393	0.4296511592
394	0.4293997743
395	0.4291836367
396	0.4289671068
397	0.4286355857
398	0.4283381057
399	0.4281650405
400	0.4277882784
401	0.4275843617
402	0.4274664769
403	0.4270738791
404	0.4268717635
405	0.4267219031
406	0.4264561004
407	0.4261945304
408	0.4259335371
409	0.4258714041
410	0.4257702359
411	0.4254400421
412	0.4251721288
413	0.4249871883
414	0.4247522643
415	0.4247046373
416	0.4244313682
417	0.4241954984
418	0.4239962302
419	0.423969827
420	0.4237499259
421	0.4234715505
422	0.4232995862
423	0.4230559227
424	0.4228931304
425	0.4226808606
426	0.4223225548
427	0.4220754021
428	0.4217744482
429	0.4215254532
430	0.4212625581
431	0.4211141448
432	0.4210114194
433	0.4208172255
434	0.420425539
435	0.4203620452
436	0.4201529543
437	0.4200606885
438	0.4198379647
439	0.4197796227
